title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Automatic Plant Watering System for Renters,automatic-plant-watering-system-for-renters,L3 support / problem solver,guide,buyer,high,28.5,P1,Budget DIY watering,Automatic Plant Watering System for Renters,4,4,"automatic, solutions, renters, off, hands, require",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Best Hose Timers for Balcony Drip Irrigation Systems,best-hose-timers-for-balcony-drip-irrigation-systems,L2 money page,buyer-guide,buyer,high,25.5,P2,Hose / soaker options,Best Hose Timers for Balcony Drip Irrigation Systems,3,4,"systems, drip, irrigation, find, options, size","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Automatic Watering Hose Setup for Patio Gardens,best-automatic-watering-hose-setup-for-patio-gardens,L2 money page,buyer-guide,buyer,high,24.5,P2,Drip setup and expansion,Best Automatic Watering Hose Setup for Patio Gardens,3,4,"automatic, patio, potted, solutions, irrigation, top","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Automatic Watering System for Balcony Containers,best-automatic-watering-system-for-balcony-containers,L2 money page,buyer-guide,buyer,high,24.5,P2,Hose / soaker options,Best Automatic Watering System for Balcony Containers,3,4,"automatic, friendly, spaces, systems, small, setup","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
DIY Balcony Watering System for Renters,diy-balcony-watering-system-for-renters,L3 support / problem solver,guide,buyer,high,24.5,P2,Budget DIY watering,DIY Balcony Watering System for Renters,3,3,"diy, budget, friendly, low, systems, expensive",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Set Up a Gravity-Fed Watering System,how-to-set-up-a-gravity-fed-watering-system,L3 support / problem solver,problem-solver,buyer,high,24.0,P2,Budget DIY watering,How to Set Up a Gravity-Fed Watering System,3,3,"gravity, fed, electricity, systems, set, simple",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Water Balcony Plants Without a Tap,how-to-water-balcony-plants-without-a-tap,L3 support / problem solver,problem-solver,problem-aware,medium,23.5,P2,No tap / renter constraints,How to Water Balcony Plants Without a Tap,3,5,"tap, solutions, don, have, direct, source",Renter-first guide for balconies with no outdoor faucet.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How Long Can Balcony Plants Go Without Water,how-long-can-balcony-plants-go-without-water,L3 support / problem solver,problem-solver,problem-aware,medium,22.5,P2,Vacation / away watering,How Long Can Balcony Plants Go Without Water,3,4,"long, survive, levels, tolerance, understanding, timeline","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Use Soaker Hoses on a Balcony?,can-i-use-soaker-hoses-on-a-balcony,L3 support / problem solver,guide,solution-aware,high,21.5,P2,Hose / soaker options,Can I Use Soaker Hoses on a Balcony?,3,3,"hose, soaker, product, specific, understanding, compatibility","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Keep Balcony Plants Alive While on Vacation,how-to-keep-balcony-plants-alive-while-on-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,21.5,P2,Vacation / away watering,How to Keep Balcony Plants Alive While on Vacation,3,3,"vacation, keep, alive, solutions, away, leave",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Water Plants While Away on Vacation,how-to-water-plants-while-away-on-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,21.5,P2,Vacation / away watering,How to Water Plants While Away on Vacation,3,3,"vacation, away, automatic, traveling, solutions, travel",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Water Potted Plants While on Vacation,how-to-water-potted-plants-while-on-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,21.5,P2,Vacation / away watering,How to Water Potted Plants While on Vacation,3,3,"vacation, potted, alive, keep, traveling, solutions",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Best Budget-Friendly Watering Solution for 10+ Balcony Pots,best-budget-friendly-watering-solution-for-10-balcony-pots,L2 money page,buyer-guide,buyer,high,20.5,P2,Buyer guide: kits / systems,Best Budget-Friendly Watering Solution for 10+ Balcony Pots,2,2,"budget, friendly, pots, systems, scaling, solution","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Water Multiple Balcony Plants Efficiently,how-to-water-multiple-balcony-plants-efficiently,L3 support / problem solver,problem-solver,problem-aware,high,20.5,P2,Drip setup and expansion,How to Water Multiple Balcony Plants Efficiently,3,3,"efficiently, multiple, hard, safely, high, solutions","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Water Tall Plants on a Balcony,how-to-water-tall-plants-on-a-balcony,L3 support / problem solver,problem-solver,problem-aware,high,20.5,P2,Drip setup and expansion,How to Water Tall Plants on a Balcony,2,3,"solutions, affordable, budget, hard, tall, reach","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Winterize a Balcony Watering System,how-to-winterize-a-balcony-watering-system,L3 support / problem solver,technical-guide,buyer,high,20.5,P2,Drip setup and expansion,How to Winterize a Balcony Watering System,3,3,"maintenance, winterize, seasonal, storage, tips, drip","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Best Drip Irrigation Kits for Apartment Balconies,best-drip-irrigation-kits-for-apartment-balconies,L2 money page,buyer-guide,buyer,high,19.0,P3,Drip setup and expansion,Best Drip Irrigation Kits for Apartment Balconies,2,2,"drip, kits, irrigation, product, spaces, recommendations","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Watering Systems for Apartment Balconies,best-watering-systems-for-apartment-balconies,L2 money page,buyer-guide,buyer,high,19.0,P3,No tap / renter constraints,Best Watering Systems for Apartment Balconies,2,2,"solutions, cheap, budget, alternatives, systems, renters","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Prevent Overwatering With Automatic Systems,how-to-prevent-overwatering-with-automatic-systems,L2 money page,problem-solver,buyer,high,19.0,P3,Timers and automation,How to Prevent Overwatering With Automatic Systems,2,2,"overwatering, prevent, automatic, amounts, systems, properly","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
DIY Automatic Plant Watering System: How to Build One,diy-automatic-plant-watering-system-how-to-build-one,L3 support / problem solver,problem-solver,buyer,high,18.5,P3,Budget DIY watering,DIY Automatic Plant Watering System: How to Build One,2,2,"build, automatic, diy, homemade, budget, one",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Automate Balcony Plant Watering Without a Timer,how-to-automate-balcony-plant-watering-without-a-timer,L3 support / problem solver,problem-solver,buyer,high,18.5,P3,Budget DIY watering,How to Automate Balcony Plant Watering Without a Timer,2,2,"automate, options, automation, much, cheap, spending",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Keep Plants Alive While Away Without Daily Watering,how-to-keep-plants-alive-while-away-without-daily-watering,L3 support / problem solver,problem-solver,problem-aware,medium,18.5,P3,Vacation / away watering,How to Keep Plants Alive While Away Without Daily Watering,2,2,"keep, daily, hands, off, alive, care",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Prevent Algae Growth in Balcony Watering Reservoirs,how-to-prevent-algae-growth-in-balcony-watering-reservoirs,L3 support / problem solver,problem-solver,problem-aware,high,18.5,P3,No tap / renter constraints,How to Prevent Algae Growth in Balcony Watering Reservoirs,2,2,"prevent, growth, algae, reservoirs, clean, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up Automatic Watering on a Budget,how-to-set-up-automatic-watering-on-a-budget,L3 support / problem solver,problem-solver,problem-aware,high,18.5,P3,Timers and automation,How to Set Up Automatic Watering on a Budget,2,2,"automatic, set, ways, affordable, budget, automate","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Automatic Watering Systems for Balcony Gardens,best-automatic-watering-systems-for-balcony-gardens,L2 money page,buyer-guide,buyer,high,18.0,P3,Buyer guide: kits / systems,Best Automatic Watering Systems for Balcony Gardens,2,2,"systems, app, controlled, phone, control, automatic","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Timer for Automatic Balcony Plant Watering,best-timer-for-automatic-balcony-plant-watering,L2 money page,buyer-guide,buyer,high,18.0,P3,Buyer guide: kits / systems,Best Timer for Automatic Balcony Plant Watering,2,2,"automatic, moisture, sensors, monitoring, smart, technology","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Watering Can for Balcony Plants,best-watering-can-for-balcony-plants,L2 money page,buyer-guide,buyer,high,18.0,P3,Drip setup and expansion,Best Watering Can for Balcony Plants,2,4,"affordable, alternative, tool, recommendation, sources, space","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Set Up a Gravity-Fed Plant Watering System,how-to-set-up-a-gravity-fed-plant-watering-system,L3 support / problem solver,problem-solver,buyer,high,18.0,P3,Budget DIY watering,How to Set Up a Gravity-Fed Plant Watering System,2,2,"gravity, fed, prevention, maintenance, prevent, clogging",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Best Container Size for Drip Irrigation Systems,best-container-size-for-drip-irrigation-systems,L2 money page,buyer-guide,buyer,high,17.5,P3,Drip setup and expansion,Best Container Size for Drip Irrigation Systems,2,2,"systems, drip, irrigation, automation, work, choose","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Connect Multiple Drip Lines on a Balcony,how-to-connect-multiple-drip-lines-on-a-balcony,L3 support / problem solver,technical-guide,problem-aware,high,17.5,P3,Drip setup and expansion,How to Connect Multiple Drip Lines on a Balcony,2,2,"multiple, connect, drip, lines, properly, configuration","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Hose Lock Watering System for Balcony Gardens,hose-lock-watering-system-for-balcony-gardens,L2 money page,guide,buyer,high,17.0,P3,Drip setup and expansion,Hose Lock Watering System for Balcony Gardens,2,2,"maintenance, finding, create, save, time, low","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Fix a Balcony That Pools Water,how-to-fix-a-balcony-that-pools-water,L3 support / problem solver,problem-solver,problem-aware,high,17.0,P3,Drip setup and expansion,How to Fix a Balcony That Pools Water,1,2,"fix, pools, permanent, problem, solutions, budget","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Prevent Water From Dripping Onto Lower Balconies,how-to-prevent-water-from-dripping-onto-lower-balconies,L3 support / problem solver,problem-solver,problem-aware,medium,17.0,P3,No tap / renter constraints,How to Prevent Water From Dripping Onto Lower Balconies,2,2,"prevent, dripping, considerate, neighbors, solutions, managing","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What Are Common Problems With Drip Irrigation Systems?,what-are-common-problems-with-drip-irrigation-systems,L2 money page,guide,buyer,high,17.0,P3,General balcony/container watering,What Are Common Problems With Drip Irrigation Systems?,2,2,"systems, common, problems, issues, avoiding, troubleshooting","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How Much Water Do Balcony Plants Really Need?,how-much-water-do-balcony-plants-really-need,L2 money page,problem-solver,problem-aware,high,16.5,P3,Drip setup and expansion,How Much Water Do Balcony Plants Really Need?,2,2,"much, avoiding, requirements, understanding, actually, overwatering","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How Much Water Does a Drip System Actually Use?,how-much-water-does-a-drip-system-actually-use,L3 support / problem solver,problem-solver,buyer,high,16.5,P3,Budget DIY watering,How Much Water Does a Drip System Actually Use?,2,2,"much, consumption, actually, understand, automatic, systems",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Choose the Right Watering System for Your Balcony Setup,how-to-choose-the-right-watering-system-for-your-balcony-setup,L3 support / problem solver,problem-solver,buyer,high,16.5,P3,No tap / renter constraints,How to Choose the Right Watering System for Your Balcony Setup,2,2,"right, decision, choose, guide, making, customers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Stop Water From Pooling on Your Balcony,how-to-stop-water-from-pooling-on-your-balcony,L3 support / problem solver,problem-solver,problem-aware,low,16.5,P3,Watering frequency and schedules,How to Stop Water From Pooling on Your Balcony,2,3,"pooling, stop, standing, problem, direct, solution","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
DIY Drip Irrigation System for Balcony Plants,diy-drip-irrigation-system-for-balcony-plants,L2 money page,guide,buyer,high,16.0,P3,Drip setup and expansion,DIY Drip Irrigation System for Balcony Plants,2,2,"drip, irrigation, pet, kitten, proof, safe","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Easy Watering System Setup for Apartment Balconies,easy-watering-system-setup-for-apartment-balconies,L3 support / problem solver,guide,buyer,high,16.0,P3,No tap / renter constraints,Easy Watering System Setup for Apartment Balconies,2,2,"setup, light, adjusting, exposure, sunny, shaded","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Water Butt for Balcony Plant Watering,best-water-butt-for-balcony-plant-watering,L2 money page,buyer-guide,buyer,high,15.5,P3,Buyer guide: kits / systems,Best Water Butt for Balcony Plant Watering,2,2,"rainwater, collection, reuse, butt","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can You Expand a Balcony Watering System Later?,can-you-expand-a-balcony-watering-system-later,L3 support / problem solver,technical-guide,buyer,high,15.5,P3,Hose / soaker options,Can You Expand a Balcony Watering System Later?,2,2,"expand, later, scalability, systems, understanding, proofing","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can You Use Drip Irrigation on a Balcony?,can-you-use-drip-irrigation-on-a-balcony,L3 support / problem solver,guide,solution-aware,high,15.5,P3,Hose / soaker options,Can You Use Drip Irrigation on a Balcony?,2,2,"systems, drip, irrigation, spaces, understanding, work","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Solar Powered Drip Irrigation for Balcony Gardens,solar-powered-drip-irrigation-for-balcony-gardens,L3 support / problem solver,guide,solution-aware,high,15.5,P3,Hose / soaker options,Solar Powered Drip Irrigation for Balcony Gardens,2,2,"drip, eco, options, powered, friendly, solar","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
"Automatic Watering for Tea Plants, Herbs, and Vegetables",automatic-watering-for-tea-plants-herbs-and-vegetables,L2 money page,guide,solution-aware,high,15.0,P3,Buyer guide: kits / systems,"Automatic Watering for Tea Plants, Herbs, and Vegetables",2,2,"automatic, vegetables, herbs, grow, food, automatically","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Watering System for Windy Balconies,best-watering-system-for-windy-balconies,L2 money page,buyer-guide,buyer,high,15.0,P3,Drip setup and expansion,Best Watering System for Windy Balconies,2,2,"solutions, collections, scale, large, windy, challenging","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
DIY Solutions for Water Pooling on Balconies,diy-solutions-for-water-pooling-on-balconies,L2 money page,problem-solver,problem-aware,high,15.0,P3,Drip setup and expansion,DIY Solutions for Water Pooling on Balconies,1,1,"pooling, diy, budget, friendly, solutions, fixes","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Water Balcony Plants Without Running Water,how-to-water-balcony-plants-without-running-water,L3 support / problem solver,problem-solver,problem-aware,high,15.0,P3,Drip setup and expansion,How to Water Balcony Plants Without Running Water,2,2,"solutions, hard, spillage, high, reach, elevated","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Water Plants on a Balcony Without a Spigot,how-to-water-plants-on-a-balcony-without-a-spigot,L3 support / problem solver,problem-solver,problem-aware,medium,15.0,P3,No tap / renter constraints,How to Water Plants on a Balcony Without a Spigot,2,2,"access, solutions, outdoor, spigot, finding, tap","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What Size Water Reservoir Do I Need for My Balcony?,what-size-water-reservoir-do-i-need-for-my-balcony,L2 money page,technical-guide,solution-aware,high,15.0,P3,Drip setup and expansion,What Size Water Reservoir Do I Need for My Balcony?,2,2,"size, capacity, reservoir, planning, drip, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What's the Easiest Way to Water Container Plants?,what-s-the-easiest-way-to-water-container-plants,L2 money page,guide,solution-aware,high,15.0,P3,Drip setup and expansion,What's the Easiest Way to Water Container Plants?,2,2,"way, simple, easiest, methods, cheapest, effective","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Budget-Friendly Solutions for Watering Plants While Away,budget-friendly-solutions-for-watering-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,14.5,P3,Budget DIY watering,Budget-Friendly Solutions for Watering Plants While Away,1,1,"free, cheap, budget, wants, options, friendly",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How Much Water Do Balcony Plants Need Per Week?,how-much-water-do-balcony-plants-need-per-week,L2 money page,problem-solver,problem-aware,high,14.5,P3,Drip setup and expansion,How Much Water Do Balcony Plants Need Per Week?,2,2,"much, week, planning, per, capacity, requirements","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Water Plants While Away: Simple Systems That Work,how-to-water-plants-while-away-simple-systems-that-work,L2 money page,problem-solver,buyer,high,14.5,P3,Buyer guide: kits / systems,How to Water Plants While Away: Simple Systems That Work,1,1,"automatic, systems, vacations, work, away, absences",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Automatic Watering Systems That Send Phone Alerts,automatic-watering-systems-that-send-phone-alerts,L2 money page,guide,buyer,high,14.0,P3,Buyer guide: kits / systems,Automatic Watering Systems That Send Phone Alerts,1,1,"notified, automatic, remotely, systems, alerts, phone","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Gravity Fed Watering Systems for Small Spaces,best-gravity-fed-watering-systems-for-small-spaces,L2 money page,buyer-guide,buyer,high,14.0,P3,Buyer guide: kits / systems,Best Gravity Fed Watering Systems for Small Spaces,1,1,"spaces, looking, electricity, systems, gravity, fed","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Prevent Clogging in Drip Irrigation Systems,how-to-prevent-clogging-in-drip-irrigation-systems,L2 money page,problem-solver,buyer,high,14.0,P3,Drip setup and expansion,How to Prevent Clogging in Drip Irrigation Systems,1,1,"maintenance, prevent, clogging, systems, drip, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
What's the Difference Between Soaker Hoses and Gravity Fed Systems?,what-s-the-difference-between-soaker-hoses-and-gravity-fed-systems,L2 money page,guide,buyer,high,14.0,P3,Buyer guide: kits / systems,What's the Difference Between Soaker Hoses and Gravity Fed Systems?,1,1,"hoses, benefits, difference, between, soaker, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best DIY Plant Watering System for Your Balcony,best-diy-plant-watering-system-for-your-balcony,L2 money page,buyer-guide,buyer,high,13.5,P4,Drip setup and expansion,Best DIY Plant Watering System for Your Balcony,1,1,"build, setup, diy, wants, own, customer","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Materials for Renter-Approved Watering Systems,best-materials-for-renter-approved-watering-systems,L2 money page,buyer-guide,buyer,high,13.5,P4,Buyer guide: kits / systems,Best Materials for Renter-Approved Watering Systems,1,1,"free, approved, systems, options, damage, renter","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Budget Balcony Irrigation: Amazon and Local Store Options,budget-balcony-irrigation-amazon-and-local-store-options,L2 money page,guide,solution-aware,high,13.5,P4,Buyer guide: kits / systems,Budget Balcony Irrigation: Amazon and Local Store Options,1,1,"amazon, affordable, budget, options, find, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can Gravity Fed Systems Water Plants at Different Heights?,can-gravity-fed-systems-water-plants-at-different-heights,L2 money page,guide,buyer,high,13.5,P4,Buyer guide: kits / systems,Can Gravity Fed Systems Water Plants at Different Heights?,1,1,"elevations, pot, systems, gravity, heights, varied","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
DIY Drip Irrigation vs Buying a Pre-Made System: What's Better?,diy-drip-irrigation-vs-buying-a-pre-made-system-what-s-better,L2 money page,comparison,buyer,high,13.5,P4,Drip setup and expansion,DIY Drip Irrigation vs Buying a Pre-Made System: What's Better?,1,1,"commercial, diy, pre, made, options, buying","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Do Gravity Fed Systems Work Better Than Soaker Hoses?,do-gravity-fed-systems-work-better-than-soaker-hoses,L2 money page,comparison,buyer,high,13.5,P4,Buyer guide: kits / systems,Do Gravity Fed Systems Work Better Than Soaker Hoses?,1,1,"hoses, than, systems, soaker, method, gravity","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Gravity-Fed vs Pump: Which Balcony Irrigation System Works Best?,gravity-fed-vs-pump-which-balcony-irrigation-system-works-best,L2 money page,comparison,buyer,high,13.5,P4,Drip setup and expansion,Gravity-Fed vs Pump: Which Balcony Irrigation System Works Best?,1,1,"works, pump, gravity, which, methods, fed","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Gravity-Fed Watering Systems for Potted Plants,gravity-fed-watering-systems-for-potted-plants,L2 money page,guide,buyer,high,13.5,P4,Buyer guide: kits / systems,Gravity-Fed Watering Systems for Potted Plants,1,1,"simple, potted, systems, gravity, passive, fed","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Use Bottles for DIY Drip Irrigation on Balconies,how-to-use-bottles-for-diy-drip-irrigation-on-balconies,L3 support / problem solver,problem-solver,problem-aware,high,13.5,P4,Drip setup and expansion,How to Use Bottles for DIY Drip Irrigation on Balconies,1,1,"household, diy, budget, bottles, items, using","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Size Gravity Fed System Do I Need for 3-5 Containers?,what-size-gravity-fed-system-do-i-need-for-3-5-containers,L2 money page,technical-guide,buyer,high,13.5,P4,Drip setup and expansion,What Size Gravity Fed System Do I Need for 3-5 Containers?,1,1,"sizing, size, specific, counts, systems, gravity","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
