title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Best Water Butt for Balcony Plant Watering,best-water-butt-for-balcony-plant-watering,L2 money page,buyer-guide,buyer,high,14.0,P3,Buyer guide: kits / systems,Best Water Butt for Balcony Plant Watering,1,2,"rainwater, collection, butt, automated, timer, automatic","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Prevent Clogging in Drip Irrigation Systems,how-to-prevent-clogging-in-drip-irrigation-systems,L2 money page,problem-solver,buyer,high,14.0,P3,Drip setup and expansion,How to Prevent Clogging in Drip Irrigation Systems,1,1,"maintenance, systems, drip, clogging, prevent, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Water Balcony Plants Without a Tap,how-to-water-balcony-plants-without-a-tap,L3 support / problem solver,problem-solver,problem-aware,medium,14.0,P3,No tap / renter constraints,How to Water Balcony Plants Without a Tap,1,4,"access, direct, tap, solution, survival, timeline",Renter-first guide for balconies with no outdoor faucet.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Balcony hose and soaker options,balcony-hose-and-soaker-options,L1 pillar / hub,pillar,mixed,medium,13.6,P4,Hose / soaker options,theme-derived,1,3,Hose / soaker options,Hub page that organizes the hose / soaker options lane for balcony/patio/container setups.,"Link out to best-fit setup guides, buyer guides, and troubleshooting articles.",new,candidate
DIY Balcony Watering System Without a Tap,diy-balcony-watering-system-without-a-tap,L3 support / problem solver,problem-solver,buyer,high,13.5,P4,Budget DIY watering,DIY Balcony Watering System Without a Tap,1,1,"budget, friendly, setup, tap, diy",Renter-first guide for balconies with no outdoor faucet.,Link to recommended products and core buyer guides.,new,candidate
Best DIY Plant Watering System for Your Balcony,best-diy-plant-watering-system-for-your-balcony,L2 money page,buyer-guide,buyer,high,13.0,P4,Budget DIY watering,Best DIY Plant Watering System for Your Balcony,1,1,"own, setup, build, wants, diy, customer","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Budget Watering Solutions for Apartment Balconies,budget-watering-solutions-for-apartment-balconies,L3 support / problem solver,guide,solution-aware,medium,12.5,P4,Budget DIY watering,Budget Watering Solutions for Apartment Balconies,1,1,"solutions, alternatives, budget, cheap",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Often Should You Water Balcony Plants?,how-often-should-you-water-balcony-plants,L3 support / problem solver,problem-solver,problem-aware,low,12.5,P4,Watering frequency and schedules,How Often Should You Water Balcony Plants?,2,2,"often, schedule, summer, seasonal, baseline, learning","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Neighbors to Ask for Plant Watering Help,best-neighbors-to-ask-for-plant-watering-help,L2 money page,buyer-guide,buyer,high,12.0,P4,Budget DIY watering,Best Neighbors to Ask for Plant Watering Help,1,1,"trusted, considering, friend, neighbors, ask, option","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Hand Watering vs Automatic Systems for Balcony Plants,hand-watering-vs-automatic-systems-for-balcony-plants,L2 money page,comparison,buyer,high,12.0,P4,Buyer guide: kits / systems,Hand Watering vs Automatic Systems for Balcony Plants,1,1,"automatic, hand, systems, comparison, method","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Plastic Bottle Watering Hack for Plants While Away,plastic-bottle-watering-hack-for-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,12.0,P4,Budget DIY watering,Plastic Bottle Watering Hack for Plants While Away,1,1,"hack, cheap, solutions, plastic, away, bottle",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Best Watering Can for Balcony Plants,best-watering-can-for-balcony-plants,L2 money page,buyer-guide,buyer,high,11.5,P4,Buyer guide: kits / systems,Best Watering Can for Balcony Plants,1,2,"recommendation, affordable, tool, sources, alternative","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Container Size and Plant Watering Needs During Vacation,container-size-and-plant-watering-needs-during-vacation,L3 support / problem solver,technical-guide,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Container Size and Plant Watering Needs During Vacation,1,1,"size, impact, needs, understand, vacation, during",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Drip Irrigation Setup for Balcony Container Plants,drip-irrigation-setup-for-balcony-container-plants,L2 money page,guide,solution-aware,high,11.5,P4,Drip setup and expansion,Drip Irrigation Setup for Balcony Container Plants,1,1,"drip, solution, setup, wants, irrigation, permanent","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Gardena Balcony Watering System Setup Guide,gardena-balcony-watering-system-setup-guide,L2 money page,guide,buyer,high,11.5,P4,Drip setup and expansion,Gardena Balcony Watering System Setup Guide,1,1,"solution, setup, brand, gardena, guide, specific","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
"Apartment Balcony Watering: No Tap, No Problem",apartment-balcony-watering-no-tap-no-problem,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,No tap / renter constraints,"Apartment Balcony Watering: No Tap, No Problem",1,1,"solution, urban, tap, gardening, problem","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Moisture Meters to Monitor Plants While Away,best-moisture-meters-to-monitor-plants-while-away,L2 money page,buyer-guide,buyer,high,11.0,P4,Budget DIY watering,Best Moisture Meters to Monitor Plants While Away,1,1,"remotely, check, meters, away, wants, moisture",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Capillary Mats for Plant Watering: Setup and Benefits,capillary-mats-for-plant-watering-setup-and-benefits,L3 support / problem solver,guide,solution-aware,medium,11.0,P4,Budget DIY watering,Capillary Mats for Plant Watering: Setup and Benefits,1,1,"capillary, mat, based, solutions, setup, mats",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Self-Watering Plant Containers: Are They Worth It?,self-watering-plant-containers-are-they-worth-it,L2 money page,buyer-guide,buyer,medium,11.0,P4,Budget DIY watering,Self-Watering Plant Containers: Are They Worth It?,1,1,"they, solutions, worth, commercial, self, customer",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Keep Balcony Plants in Sealed Bags While Away,can-i-keep-balcony-plants-in-sealed-bags-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Can I Keep Balcony Plants in Sealed Bags While Away,1,1,"hack, vacation, away, sealed, bags, keep",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Can I Use a Hose Inside to Water My Balcony Garden,can-i-use-a-hose-inside-to-water-my-balcony-garden,L3 support / problem solver,guide,solution-aware,high,10.5,P4,Hose / soaker options,Can I Use a Hose Inside to Water My Balcony Garden,1,1,"inside, indoor, hose, feasibility","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Hiring Someone to Water Plants While Away: What to Expect,hiring-someone-to-water-plants-while-away-what-to-expect,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,Hiring Someone to Water Plants While Away: What to Expect,1,1,"considering, professional, expect, hiring, away, services",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Attach a Hose to a Water Butt for Balcony Use,how-to-attach-a-hose-to-a-water-butt-for-balcony-use,L3 support / problem solver,problem-solver,problem-aware,high,10.5,P4,Hose / soaker options,How to Attach a Hose to a Water Butt for Balcony Use,1,1,"connection, hose, butt, equipment, attach, guide","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Keep Plants Moist During a 2-Week Vacation,how-to-keep-plants-moist-during-a-2-week-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Keep Plants Moist During a 2-Week Vacation,1,1,"extended, travel, week, vacation, during, plans",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Position Plants in Bathtub for Vacation Watering,how-to-position-plants-in-bathtub-for-vacation-watering,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Position Plants in Bathtub for Vacation Watering,1,1,"position, implementing, vacation, bathtub, customer, method",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Set Up a Gravity-Fed Plant Watering System,how-to-set-up-a-gravity-fed-plant-watering-system,L3 support / problem solver,problem-solver,buyer,high,10.5,P4,Budget DIY watering,How to Set Up a Gravity-Fed Plant Watering System,1,1,"gravity, passive, wants, set, fed, simple",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Tell If Your Plants Are Dehydrated After You Return,how-to-tell-if-your-plants-are-dehydrated-after-you-return,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Tell If Your Plants Are Dehydrated After You Return,1,1,"post, after, vacation, assess, dehydrated, wants","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Water Outdoor Potted Plants While on Vacation,how-to-water-outdoor-potted-plants-while-on-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Vacation / away watering,How to Water Outdoor Potted Plants While on Vacation,1,1,"vacation, has, outdoor, potted, care, customer",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Indoor Plant Humidity While Away: Is It a Concern?,indoor-plant-humidity-while-away-is-it-a-concern,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Budget DIY watering,Indoor Plant Humidity While Away: Is It a Concern?,1,1,"indoor, concern, about, away, worried, customer",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Plant Watering While Away: Indoor vs. Outdoor Tips,plant-watering-while-away-indoor-vs-outdoor-tips,L3 support / problem solver,comparison,buyer,medium,10.5,P4,Budget DIY watering,Plant Watering While Away: Indoor vs. Outdoor Tips,1,1,"indoor, collection, tips, has, away, outdoor",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Shade Cloths and Plant Watering: Do They Help While Away?,shade-cloths-and-plant-watering-do-they-help-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.5,P4,Budget DIY watering,Shade Cloths and Plant Watering: Do They Help While Away?,1,1,"cloths, considering, they, away, shade, evaporation",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Best Container Plants for Minimal Watering,best-container-plants-for-minimal-watering,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Container Plants for Minimal Watering,1,1,"minimal, maintenance, alternatives, low","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Portable Water Container for Balcony Gardening,best-portable-water-container-for-balcony-gardening,L2 money page,buyer-guide,buyer,high,10.0,P4,Buyer guide: kits / systems,Best Portable Water Container for Balcony Gardening,1,1,"portable, mobile, solution, gardening","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can Balcony Plants Survive 3 Weeks Without Water,can-balcony-plants-survive-3-weeks-without-water,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Can Balcony Plants Survive 3 Weeks Without Water,1,1,"extended, survive, weeks, vacation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can You Overwater Plants Before Vacation?,can-you-overwater-plants-before-vacation,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Can You Overwater Plants Before Vacation?,1,1,"strategy, worried, vacation, about, trip, overwater",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Emergency Plant Care: Last-Minute Vacation Watering,emergency-plant-care-last-minute-vacation-watering,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Emergency Plant Care: Last-Minute Vacation Watering,1,1,"travel, vacation, last, plans, emergency, minute",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Overwatering Plants: Why It's Worse Than Underwatering,overwatering-plants-why-it-s-worse-than-underwatering,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Overwatering Plants: Why It's Worse Than Underwatering,1,1,"overwatering, learning, worse, mistakes, underwatering, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Preparing Your Balcony Plants for Extended Time Away,preparing-your-balcony-plants-for-extended-time-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Preparing Your Balcony Plants for Extended Time Away,1,1,"extended, preparing, checklist, prep, vacation, away",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Care for Succulents and Drought-Tolerant Plants,vacation-plant-care-for-succulents-and-drought-tolerant-plants,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Vacation Plant Care for Succulents and Drought-Tolerant Plants,1,1,"vacation, low, has, drought, tolerant, succulents",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Vacation Plant Watering for Herbs and Vegetables,vacation-plant-watering-for-herbs-and-vegetables,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Vacation Plant Watering for Herbs and Vegetables,1,1,"herbs, vacation, has, edible, vegetables, customer",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Ziplock Bag Method for Watering Plants While Away,ziplock-bag-method-for-watering-plants-while-away,L3 support / problem solver,problem-solver,problem-aware,medium,10.0,P4,Vacation / away watering,Ziplock Bag Method for Watering Plants While Away,1,1,"hack, ziplock, bag, vacation, away, method",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Bathtub Plant Watering Trick: Does It Really Work?,bathtub-plant-watering-trick-does-it-really-work,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Bathtub Plant Watering Trick: Does It Really Work?,1,1,"considering, trick, popular, work, bathtub, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up Micro Drip Irrigation on a Balcony,how-to-set-up-micro-drip-irrigation-on-a-balcony,L3 support / problem solver,problem-solver,problem-aware,high,9.5,P4,Drip setup and expansion,How to Set Up Micro Drip Irrigation on a Balcony,1,1,"style, professional, drip, micro, set, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Liquid Fertilizer in Plant Watering Systems: Should You?,liquid-fertilizer-in-plant-watering-systems-should-you,L2 money page,guide,buyer,high,9.5,P4,Watering frequency and schedules,Liquid Fertilizer in Plant Watering Systems: Should You?,1,1,"fertilizer, feeding, combine, wants, liquid, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Vacation Plant Care: What to Do in 24-48 Hours,vacation-plant-care-what-to-do-in-24-48-hours,L3 support / problem solver,problem-solver,problem-aware,low,9.5,P4,Watering frequency and schedules,Vacation Plant Care: What to Do in 24-48 Hours,1,1,"short, travel, hours, vacation, notice, care",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Drip Irrigation for Balcony Plants Without Tap Water,drip-irrigation-for-balcony-plants-without-tap-water,L3 support / problem solver,problem-solver,problem-aware,medium,9.0,P4,No tap / renter constraints,Drip Irrigation for Balcony Plants Without Tap Water,1,1,"drip, tap, irrigation, efficient, method","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Self-Watering Planters for Balconies Without Tap,self-watering-planters-for-balconies-without-tap,L3 support / problem solver,problem-solver,problem-aware,medium,9.0,P4,No tap / renter constraints,Self-Watering Planters for Balconies Without Tap,1,1,"product, based, solution, planters, tap, self","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Watering System Filters for Balcony Drip Irrigation,watering-system-filters-for-balcony-drip-irrigation,L2 money page,guide,buyer,high,9.0,P4,Drip setup and expansion,Watering System Filters for Balcony Drip Irrigation,1,1,"filters, components, irrigation, drip","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
What's the Cost of Hiring a Plant Watering Service?,what-s-the-cost-of-hiring-a-plant-watering-service,L2 money page,buyer-guide,buyer,medium,9.0,P4,Budget DIY watering,What's the Cost of Hiring a Plant Watering Service?,1,1,"budgeting, professional, hiring, service, care, customer",Pricing explainer anchored to realistic small-space setups.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Water Multiple Balcony Plants Efficiently,how-to-water-multiple-balcony-plants-efficiently,L3 support / problem solver,problem-solver,problem-aware,medium,8.5,P4,Vacation / away watering,How to Water Multiple Balcony Plants Efficiently,1,1,"methods, multiple, time, efficiently, saving","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Mulch and Black Plastic Trick to Reduce Plant Watering,mulch-and-black-plastic-trick-to-reduce-plant-watering,L3 support / problem solver,guide,solution-aware,medium,8.5,P4,Budget DIY watering,Mulch and Black Plastic Trick to Reduce Plant Watering,1,1,"trick, methods, black, plastic, mulch, wants",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Plant Watering Apps: Can Technology Help While You're Gone?,plant-watering-apps-can-technology-help-while-you-re-gone,L2 money page,guide,solution-aware,high,8.5,P4,Timers and automation,Plant Watering Apps: Can Technology Help While You're Gone?,1,1,"apps, smart, gone, reminders, wants, technology","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Toilet Tank Auto-Watering System for Indoor Balcony Plants,toilet-tank-auto-watering-system-for-indoor-balcony-plants,L3 support / problem solver,guide,buyer,high,8.5,P4,Budget DIY watering,Toilet Tank Auto-Watering System for Indoor Balcony Plants,1,1,"auto, hack, indoor, creative, toilet, tank",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Wicking System for Plants: How to Make and Use One,wicking-system-for-plants-how-to-make-and-use-one,L3 support / problem solver,problem-solver,buyer,high,8.5,P4,General balcony/container watering,Wicking System for Plants: How to Make and Use One,1,1,"wicking, make, detailed, wants, instructions, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How Long Can Potted Plants Survive Without Water?,how-long-can-potted-plants-survive-without-water,L3 support / problem solver,problem-solver,problem-aware,medium,8.0,P4,Vacation / away watering,How Long Can Potted Plants Survive Without Water?,1,1,"short, care, during, wants, know, potted","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Much Water Do Balcony Plants Need? A Beginner's Guide,how-much-water-do-balcony-plants-need-a-beginner-s-guide,L2 money page,problem-solver,problem-aware,medium,8.0,P4,No tap / renter constraints,How Much Water Do Balcony Plants Need? A Beginner's Guide,1,1,"much, learning, beginner, guide, basics, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Humidity Control and Watering for Balcony Plants,humidity-control-and-watering-for-balcony-plants,L3 support / problem solver,guide,solution-aware,medium,8.0,P4,Vacation / away watering,Humidity Control and Watering for Balcony Plants,1,1,"control, environmental, factors, humidity","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
String Watering System for Plants: Step-by-Step Guide,string-watering-system-for-plants-step-by-step-guide,L2 money page,guide,buyer,high,8.0,P4,Vacation / away watering,String Watering System for Plants: Step-by-Step Guide,1,1,"detailed, string, wants, guide, method, step","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Water Globes for Plants: Helpful or Hype?,water-globes-for-plants-helpful-or-hype,L3 support / problem solver,guide,solution-aware,medium,8.0,P4,Vacation / away watering,Water Globes for Plants: Helpful or Hype?,1,1,"devices, hype, globes, researching, helpful, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What's the Cheapest Way to Water a Balcony Garden,what-s-the-cheapest-way-to-water-a-balcony-garden,L3 support / problem solver,guide,solution-aware,high,8.0,P4,Hose / soaker options,What's the Cheapest Way to Water a Balcony Garden,1,1,"effective, way, options, cheapest","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Best Watering Schedule for Container Balcony Gardens,best-watering-schedule-for-container-balcony-gardens,L2 money page,buyer-guide,buyer,high,7.5,P4,Watering frequency and schedules,Best Watering Schedule for Container Balcony Gardens,1,1,"establishment, schedule, routine","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Mulch Balcony Plant Containers to Retain Water,how-to-mulch-balcony-plant-containers-to-retain-water,L3 support / problem solver,problem-solver,problem-aware,low,7.5,P4,Watering frequency and schedules,How to Mulch Balcony Plant Containers to Retain Water,1,1,"retention, techniques, mulch, retain","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Reduce Evaporation in Balcony Plant Containers,how-to-reduce-evaporation-in-balcony-plant-containers,L3 support / problem solver,problem-solver,problem-aware,low,7.5,P4,Watering frequency and schedules,How to Reduce Evaporation in Balcony Plant Containers,1,1,"evaporation, conservation, reduce","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Plant Watering Schedule: What to Do Before Leaving Home,plant-watering-schedule-what-to-do-before-leaving-home,L3 support / problem solver,technical-guide,solution-aware,low,7.5,P4,Watering frequency and schedules,Plant Watering Schedule: What to Do Before Leaving Home,1,1,"home, checklist, needs, leaving, schedule, trip","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Use Gray Water to Water Balcony Plants,can-i-use-gray-water-to-water-balcony-plants,L3 support / problem solver,guide,solution-aware,low,7.0,P4,General balcony/container watering,Can I Use Gray Water to Water Balcony Plants,1,1,"recycled, option, gray","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Water Balcony Plants With Collected Rainwater,can-i-water-balcony-plants-with-collected-rainwater,L3 support / problem solver,guide,solution-aware,low,7.0,P4,General balcony/container watering,Can I Water Balcony Plants With Collected Rainwater,1,1,"sustainable, rainwater, option, collected","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Clay Pot Watering Spikes: Do They Actually Work?,clay-pot-watering-spikes-do-they-actually-work,L3 support / problem solver,guide,solution-aware,low,7.0,P4,Watering frequency and schedules,Clay Pot Watering Spikes: Do They Actually Work?,1,1,"actually, spikes, they, devices, work, spike","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
